,sources,targets,q_total,IndexAvg,weights
192,"Switzerland, Liechtenstein",Austria,12.489,1.75,3995.692
193,"Switzerland, Liechtenstein",Austria,12.489,1.54,3995.692
194,Thailand,Austria,0.012,-0.14,5499.867
195,United Kingdom,Austria,29.051,1.46,34960.074
196,"USA, Puerto Rico and US Virgin Islands",Austria,4.487,1.28,45927.706
197,Barbados,Bahamas,0.077,1.12,36.906
198,Brazil,Bahamas,0.255,-0.03,13792.235999999999
199,Canada,Bahamas,0.005,1.62,17531.729000000003
200,China,Bahamas,0.738,-0.49,411379.754
201,Denmark,Bahamas,0.112,1.78,7989.049999999999
202,Finland,Bahamas,0.023,1.84,2664.9170000000004
203,Germany,Bahamas,0.063,1.49,23017.288
204,Japan,Bahamas,0.245,1.23,69993.533
205,Latvia,Bahamas,0.001,0.67,355.83900000000006
206,Mexico,Bahamas,0.545,-0.17,19859.502
207,"Norway, Svalbard and Jan Mayen",Bahamas,0.26,1.73,2245.9860000000003
208,"Switzerland, Liechtenstein",Bahamas,0.003,1.75,3995.692
209,"Switzerland, Liechtenstein",Bahamas,0.003,1.54,3995.692
210,United Kingdom,Bahamas,0.012,1.46,34960.074
211,Austria,Bahrain,0.002,1.55,3394.051
212,Belgium,Bahrain,0.093,1.31,12239.12
213,Bulgaria,Bahrain,0.017,0.18,1117.8220000000001
214,China,Bahrain,23.636,-0.49,411379.754
215,Denmark,Bahrain,0.014,1.78,7989.049999999999
216,"France, Monaco",Bahrain,0.238,1.19,14637.760999999999
217,Germany,Bahrain,0.092,1.49,23017.288
218,Greece,Bahrain,0.025,0.5,3915.5150000000003
219,Indonesia,Bahrain,6.128,-0.49,25303.601000000002
220,Iran,Bahrain,0.005,-0.98,3561.766
221,Ireland,Bahrain,0.01,1.48,1538.568
222,Italy,Bahrain,0.43400000000000005,0.63,9579.352
223,Japan,Bahrain,0.667,1.23,69993.533
224,Republic of Korea,Bahrain,0.231,0.75,28784.924
225,Kuwait,Bahrain,0.112,0.09,182.878
226,Malaysia,Bahrain,0.172,0.36,23304.784
227,Mexico,Bahrain,0.048,-0.17,19859.502
228,"Other Asia, not elsewhere specified",Bahrain,0.235,,13215.868999999999
229,Netherlands,Bahrain,0.033,1.69,36637.42799999999
230,Niger,Bahrain,0.02,-0.66,4.024
231,"Norway, Svalbard and Jan Mayen",Bahrain,0.458,1.73,2245.9860000000003
232,Poland,Bahrain,0.045,0.71,21556.831
233,Portugal,Bahrain,0.029,1.09,724.57
234,Romania,Bahrain,0.31799999999999995,0.11,5213.838
235,Russian Federation,Bahrain,0.013,-0.71,18765.510000000002
236,Saudi Arabia,Bahrain,0.686,-0.33,3947.6340000000005
237,India,Bahrain,0.241,-0.23,12479.099999999999
238,Singapore,Bahrain,4.828,1.52,57683.688
239,Viet Nam,Bahrain,3.6050000000000004,-0.48,5188.044
240,Slovenia,Bahrain,0.109,0.97,761.7780000000001
241,South Africa,Bahrain,0.034,0.29,58175.628000000004
242,Spain,Bahrain,0.082,0.95,7276.441000000001
243,"Switzerland, Liechtenstein",Bahrain,0.04,1.75,3995.692
244,"Switzerland, Liechtenstein",Bahrain,0.04,1.54,3995.692
245,Thailand,Bahrain,0.432,-0.14,5499.867
246,United Arab Emirates,Bahrain,24.696,0.55,17822.197999999997
247,Tunisia,Bahrain,0.15,-0.16,499.533
248,United Kingdom,Bahrain,3.397,1.46,34960.074
249,Australia,Armenia,0.026,1.58,6158.040999999998
250,Belgium,Armenia,0.005,1.31,12239.12
251,Belarus,Armenia,0.001,-0.79,387.173
252,China,Armenia,68.688,-0.49,411379.754
253,Finland,Armenia,0.007,1.84,2664.9170000000004
254,Georgia,Armenia,0.044,-0.12,131.951
255,Germany,Armenia,0.12,1.49,23017.288
256,"China, Hong Kong Special Administrative Region",Armenia,0.012,1.35,99971.2
257,Indonesia,Armenia,0.08499999999999999,-0.49,25303.601000000002
258,Japan,Armenia,0.666,1.23,69993.533
259,Republic of Korea,Armenia,0.023999999999999997,0.75,28784.924
260,Poland,Armenia,0.9969999999999999,0.71,21556.831
261,Russian Federation,Armenia,1.109,-0.71,18765.510000000002
262,Singapore,Armenia,0.005,1.52,57683.688
263,"Switzerland, Liechtenstein",Armenia,2.6119999999999997,1.75,3995.692
264,"Switzerland, Liechtenstein",Armenia,2.6119999999999997,1.54,3995.692
265,United Arab Emirates,Armenia,0.798,0.55,17822.197999999997
266,Turkey,Armenia,0.002,-0.2,7544.607
267,United Kingdom,Armenia,0.12000000000000001,1.46,34960.074
268,Angola,Belgium,0.08299999999999999,-1.14,1332.205
269,Australia,Belgium,0.021,1.58,6158.040999999998
270,Austria,Belgium,0.471,1.55,3394.051
271,Bulgaria,Belgium,0.013,0.18,1117.8220000000001
272,Canada,Belgium,0.022,1.62,17531.729000000003
273,China,Belgium,3346.987,-0.49,411379.754
274,Czechia,Belgium,13.921,0.9,4658.562
275,Denmark,Belgium,3.08,1.78,7989.049999999999
276,Finland,Belgium,0.077,1.84,2664.9170000000004
277,"France, Monaco",Belgium,56.054,1.19,14637.760999999999
278,Germany,Belgium,125.93100000000001,1.49,23017.288
279,Greece,Belgium,0.167,0.5,3915.5150000000003
280,"China, Hong Kong Special Administrative Region",Belgium,2.542,1.35,99971.2
281,Hungary,Belgium,11.677,0.75,2429.925
282,Iceland,Belgium,0.132,1.61,103.019
283,Indonesia,Belgium,126.602,-0.49,25303.601000000002
284,Ireland,Belgium,0.345,1.48,1538.568
285,Israel,Belgium,1.296,0.63,6832.461
286,Italy,Belgium,1.0030000000000001,0.63,9579.352
287,Japan,Belgium,599.0939999999999,1.23,69993.533
288,Republic of Korea,Belgium,0.09,0.75,28784.924
289,Lithuania,Belgium,0.093,0.78,458.13199999999995
290,Luxembourg,Belgium,3.7899999999999996,1.71,127.797
291,Malaysia,Belgium,2117.514,0.36,23304.784
292,"Other Asia, not elsewhere specified",Belgium,2.578,,13215.868999999999
293,Mongolia,Belgium,0.002,-0.04,40.726
294,Netherlands,Belgium,152.599,1.69,36637.42799999999
295,"Norway, Svalbard and Jan Mayen",Belgium,0.498,1.73,2245.9860000000003
296,Poland,Belgium,3570.526,0.71,21556.831
297,Romania,Belgium,0.8260000000000001,0.11,5213.838
298,Serbia,Belgium,0.032,-0.32,640.7230000000002
299,Singapore,Belgium,57.685,1.52,57683.688
300,Slovakia,Belgium,0.079,0.7,1870.2870000000003
301,Viet Nam,Belgium,0.015,-0.48,5188.044
302,South Africa,Belgium,2.338,0.29,58175.628000000004
303,Spain,Belgium,4.526,0.95,7276.441000000001
304,Sweden,Belgium,19.405,1.73,8622.961
305,"Switzerland, Liechtenstein",Belgium,6.0729999999999995,1.75,3995.692
306,"Switzerland, Liechtenstein",Belgium,6.0729999999999995,1.54,3995.692
307,Thailand,Belgium,0.11199999999999999,-0.14,5499.867
308,United Arab Emirates,Belgium,18.889,0.55,17822.197999999997
309,Turkey,Belgium,0.048,-0.2,7544.607
310,United Kingdom,Belgium,279.041,1.46,34960.074
