Prod,HS6,Balance_mean
C_STEL_722410,722410,0.078094495
C_STEL_722490,722490,0.077354047
C_STEL_722530,722530,1.58E-06
C_STEL_722540,722540,4.45E-05
C_STEL_722550,722550,7.18E-05
C_STEL_722591,722591,0.214334744
C_STEL_722620,722620,0.061180279
C_STEL_722691,722691,1.57E-05
C_STEL_722692,722692,0.000539492
C_STEL_722710,722710,0.058951223
C_STEL_722790,722790,5.70E-05
C_STEL_722810,722810,0.056063931
C_STEL_722830,722830,2.40E-05
C_STEL_722850,722850,5.19E-05
C_STEL_722990,722990,0.000202298
C_WASH_262030,262030,0.002174492
C_WASH_262060,262060,0.022766073
C_WASH_262099,262099,0.003974927
C_WNON_810530,810530,0.260813758
C_WOIL_854810,854810,0.072563799
C_WOTH_261800,261800,0.005998006
C_WOTH_261900,261900,0.005299547
C_WOTH_262190,262190,1.08E-05
C_WSTE_720429,720429,2.36E-05
C_WSTE_720441,720441,3.28E-05
C_WSTE_720449,720449,1.07E-06
C_WSTE_720450,720450,0.000598085
